company_name,Last Traded Price,pct_change,absolute_change,volume,buy_price,sell_price,buy_qty,sell_qty
Shipping Corp,209.71,0.35,0.73,4,226,737,209.71,0
Shree Renuka,25.6,-4.73,-1.27,10,766,818,25.6,0
Shyam Metalics,818.05,2.15,17.2,78,681,818.05,0,70
SignatureGlobal,1,146.5,0.9,10.2,270,189,0,1
SJVN,72.84,3.51,2.47,3,985,309,0,72.84
SKF India,1,739.6,-1.53,-27.1,134,425,0,0
Sobha,1,465.1,1.83,26.3,231,125,1,465.1
Solar Ind,11,911,1.18,139,132,829,11,911
Sona BLW,496.8,2.13,10.35,4,151,451,496.8,0
Sonata,344.6,1.44,4.9,498,925,344.6,0,270
SRF,3,90.3,1.3,39.6,478,720,0,3
Star Health,465.35,0.83,3.85,227,684,0,0,0
SAIL,125.91,-1.07,-1.36,21,222,260,0,125.91
Sterling Wilson,213.82,1.4,2.96,1,181,549,0,213.82
SUMITOMO,442.6,-1.02,-4.55,386,380,442.6,0,871
Sun TV Network,543,-0.94,-5.15,313,614,543,0,21
Sundaram Fin,4,931.6,2.56,123.3,82,431,4,931.6
Sundram,939.75,1.36,12.65,43,780,0,939.75,0
Supreme Ind,3,368.1,0.81,27.2,305,64,0,3
Suzlon Energy,52.59,1.56,0.81,37,121,138,52.59,0
Swan Corp,468.2,-0.62,-2.9,438,52,0,468.2,0
Syngene Intl,654.15,-0.45,-2.95,664,90,0,654.15,0
Syrma SGS,729.7,2.8,19.85,1,460,465,729.7,0
Tanla Platforms,535.75,-5.05,-28.5,825,484,0,535.75,0
Tata Chemicals,761.3,1.66,12.4,220,661,761.3,0,735
Tata Comm,1,824.7,1.84,33,227,855,0,1
Tata Elxsi,5,413.5,7.98,400,1,773,370,0
Tata Inv Corp,708.6,0.79,5.55,286,37,708.6,0,199
Tata Tech,654.2,1.73,11.15,640,716,654.2,0,511
TataTeleservice,49.87,-0.06,-0.03,5,649,410,49.87,0
TBO Tek,1,698.6,2.8,46.2,125,665,1,698.6
Techno Electric,1,93.3,2.91,30.9,183,995,1,93.3
Tejas Networks,449.2,0.38,1.7,1,25,154,449.2,0
Ramco Cements,1,50.3,-1.29,-13.7,213,87,0,1
Thermax,2,869.9,0.67,19.1,78,202,0,2
Timken,3,32.7,0.54,16.4,23,71,0,3
TITAGARH,785,1.64,12.65,681,339,785,0,153
Torrent Power,1,279.1,2.11,26.4,502,531,0,1
Transformers,293.95,4.2,11.85,4,610,896,293.95,0
Trident,26.95,1.05,0.28,5,693,407,0,26.95
Triveni Engg,375,0.94,3.5,541,382,0,375,0
Triveni Turbine,528.4,1.06,5.55,256,311,0,528.4,0
Tube Investment,2,634.9,2.13,55,416,386,2,634.9
UCO Bank,28.65,0.42,0.12,6,755,331,28.65,0
Union Bank,154.03,-0.08,-0.12,7,568,724,0,154.03
United Brewerie,1,601.2,0.82,13,80,615,0,1
UNO Minda,1,267.8,3.36,41.2,387,162,0,0
UPL,751.55,0.96,7.15,6,64,263,0,751.55
Usha Martin,452.1,1.01,4.5,307,463,0,452.1,0
UTI AMC,1,134,-0.46,-5.2,156,99,0,1
V-Guard Ind,330.95,0.84,2.75,99,610,330.95,0,27
Valor Estate,118.41,2.52,2.91,1,10,401,118.41,0
Vardhman Text,453,0.69,3.1,129,779,0,453,0
Vedant Fashions,598.2,2.6,15.15,119,977,0,598.2,0
Vijaya Diagnost,997.25,0.45,4.5,60,470,0,997.25,0
Vishal Mega Mar,138.07,3.7,4.93,16,815,519,0,138.07
Vodafone Idea,11.96,5.84,0.66,1,241,113,159,0
Voltas,1,375.5,-1.87,-26.2,1,59,210,1
Waaree Energies,3,25.6,5.11,147.1,1,741,775,3
Welspun Corp,777.5,-0.82,-6.4,296,364,777.5,0,161
Welspun Living,135.76,2.03,2.7,1,822,636,0,135.76
Westlife Food,520.25,-0.02,-0.1,62,575,520.25,0,5
Whirlpool,926.2,0.06,0.6,232,776,926.2,0,1
Wockhardt,1,411.1,2.29,31.6,3,918,116,0
Yes Bank,21.7,1.21,0.26,86,903,781,21.7,0
Zee Entertain,90.53,0.06,0.05,9,262,270,90.53,0
Zen Tech,1,366.1,1.63,21.9,181,841,0,1
Zensar Tech,741.5,1.16,8.5,196,318,0,741.5,0
ZFCVINDIA,15,567,3.63,545,57,351,0,15
